,ZipCode,BuildingCategoryNum,BuildingClassAtTimeOfSale,TaxClassAtTimeOfSale,Baths,Beds,YearBuilt,NumComplaints3moPointOneMile,NumFelonies3moPointOneMile,min_dist_park,min_dist_subway,halfMileAvgPrice6mo,SalePrice
3100,10014,13,R4,2,2,2,2004,13,4,0.687554287,0.359116306,2417065.96,23700000
3101,10014,13,R4,2,2,2,2004,0,4,0.687554287,0.359116306,,1550000
3102,10014,17,R9,2,1,2,1910,0,14,0.398743964,0.128850058,,1490000
3103,10014,17,R9,2,1,1,1929,0,10,0.602425703,0.085023489,,1500000
3104,10014,17,R9,2,1,1,0,0,0,0.567309843,0.233258751,,636406
3105,10014,17,R9,2,1,0,0,0,3,0.567309843,0.233258751,,646688
3106,10014,17,R9,2,1,0,0,9,11,0.567309843,0.233258751,1885372.41,785000
3107,10014,17,R9,2,1,0,0,0,5,0.567309843,0.233258751,,825000
3108,10014,17,R9,2,1,0,0,6,0,0.567309843,0.233258751,4039244.79,725000
3109,10026,2,B9,1,4,5,1899,0,2,0.134548514,0.230017636,,994000
3110,10026,2,B9,1,4,5,1899,8,0,0.134548514,0.230017636,872206.38,1825000
3111,10035,2,B1,1,5,5,1899,12,15,0.339635905,0.314729179,851727.92,1525000
3112,10035,2,B1,1,5,5,1899,0,10,0.339635905,0.314729179,,1550000
3113,10030,9,C6,2,1,2,1920,19,31,0.391403142,0.159676759,536249.62,468000
3114,10035,10,D4,2,2,2,2001,5,6,0.162319161,0.253302389,1123699.22,675000
3115,10035,10,D4,2,2,2,2001,0,7,0.162319161,0.253302389,,735000
3116,10030,15,R1,2,2,1,1910,3,8,0.242455053,0.187655123,724883.29,465000
3117,10030,15,R1,2,2,1,1910,2,10,0.242455053,0.187655123,971061.9,419000
3118,10030,15,R1,2,2,1,1910,12,9,0.242455053,0.187655123,1496906.04,460000
3119,10034,10,D4,2,1,2,1925,0,10,0.288006742,0.208255687,,241250
3120,10034,10,D4,2,1,2,1925,66,13,0.288006742,0.208255687,592743.41,569000
3121,10034,10,D4,2,1,1,1952,0,11,0.366878922,0.15016465,,289000
3122,10034,10,D4,2,1,1,1952,8,0,0.366878922,0.15016465,443244.8,375000
