,Address,latitude,longitude,GeoCode
209,"468 WEST 23RD STREET, New York, NY",40.747393,-74.0040441,"(-74.004044100000002, 40.747393000000002)"
210,"420 WEST 23RD STREET, New York, NY",40.7467155,-74.00240440000002,"(-74.002404400000017, 40.746715500000001)"
211,"420 WEST 25TH STREET, New York, NY",40.7479718,-74.0016056,"(-74.001605600000005, 40.747971800000002)"
212,"263 9 AVENUE, New York, NY",40.7483434,-74.0004115,"(-74.000411499999998, 40.748343400000003)"
213,"263 NINTH AVENUE, New York, NY",40.7483434,-74.0004115,"(-74.000411499999998, 40.748343400000003)"
214,"345 WEST 14TH STREET, New York, NY",40.7408927,-74.0044465,"(-74.0044465, 40.740892700000003)"
215,"66 9 AVENUE, New York, NY",40.74128220000001,-74.00460720000001,"(-74.004607200000009, 40.741282200000008)"
216,"305 WEST 18TH STREET, New York, NY",40.7426858,-74.00132420000001,"(-74.001324200000013, 40.742685799999997)"
217,"312 WEST 23RD STREET, New York, NY",40.7453292,-73.9992088,"(-73.999208800000005, 40.7453292)"
218,"344 WEST 23RD STREET, New York, NY",40.7457711,-74.0003373,"(-74.000337299999998, 40.745771099999999)"
219,"305 WEST 22ND STREET, New York, NY",40.7449994,-73.999387,"(-73.999386999999999, 40.744999399999998)"
220,"322 WEST 23RD STREET, New York, NY",40.7454891,-73.9995329,"(-73.999532900000005, 40.7454891)"
221,"350 WEST 23RD STREET, New York, NY",40.745865,-74.000579,"(-74.000579000000002, 40.745865000000002)"
222,"360 WEST 28TH STREET, New York, NY",40.749332700000004,-73.9985095,"(-73.998509499999997, 40.749332700000004)"
223,"308 WEST 30TH STREET, New York, NY",40.7498367,-73.9960686,"(-73.996068600000001, 40.749836700000003)"
224,"270 WEST 17TH STREET, New York, NY",40.7412309,-74.0010072,"(-74.001007200000004, 40.741230899999998)"
225,"224 WEST 18TH STREET, New York, NY",40.7413651,-73.99927240000001,"(-73.999272400000009, 40.741365100000003)"
226,"212 WEST 18TH STREET, New York, NY",40.741226700000006,-73.99877409999999,"(-73.998774099999991, 40.741226700000006)"
227,"270 WEST 19TH STREET, New York, NY",40.7423872,-73.99971540000001,"(-73.999715400000014, 40.742387200000003)"
228,"210 WEST 19 STREET, New York, NY",40.7417597,-73.99820030000001,"(-73.998200300000008, 40.741759700000003)"
229,"210 WEST 19TH STREET, New York, NY",40.7417597,-73.99820030000001,"(-73.998200300000008, 40.741759700000003)"
230,"140 7TH AVENUE, New York, NY",40.741486200000004,-73.99795920000001,"(-73.997959200000011, 40.741486200000004)"
231,"251 WEST 19TH STREET, New York, NY",40.742607,-73.99912929999999,"(-73.999129299999993, 40.742607)"
232,"200 WEST 24TH STREET, New York, NY",40.74483,-73.9956094,"(-73.995609400000006, 40.74483)"
233,"213 WEST 23RD STREET, New York, NY",40.7445521,-73.99633390000001,"(-73.99633390000001, 40.7445521)"
234,"252 7 AVENUE, New York, NY",40.745224900000004,-73.9950853,"(-73.9950853, 40.745224900000004)"
235,"252 SEVENTH AVENUE, New York, NY",40.745224900000004,-73.9950853,"(-73.9950853, 40.745224900000004)"
236,"135 WEST 16TH STREET, New York, NY",40.7395726,-73.997357,"(-73.997356999999994, 40.739572600000002)"
237,"127 7TH AVENUE, New York, NY",40.7407806,-73.9977154,"(-73.997715400000004, 40.740780600000001)"
238,"112 WEST 18TH STREET, New York, NY",40.7400104,-73.9958541,"(-73.995854100000003, 40.740010400000003)"
239,"127 7 AVENUE, New York, NY",40.7407806,-73.9977154,"(-73.997715400000004, 40.740780600000001)"
240,"151 WEST 17TH STREET, New York, NY",40.7402721,-73.9974954,"(-73.997495400000005, 40.740272099999999)"
241,"100 WEST 18TH STREET, New York, NY",40.73995479999999,-73.9956422,"(-73.995642200000006, 40.739954799999992)"
242,"144 WEST 18TH STREET, New York, NY",40.7404789,-73.99704229999999,"(-73.99704229999999, 40.740478899999999)"
