StreetNum,StreetName,AptNum,ZipCode,Beds,Baths
214,WEST 17TH STREET ,4B,10011,2,2
125,WEST 21ST STREET ,10C,10011,1,1
166,WEST 22ND STREET ,4-D,10011,0,1
365,WEST 20TH STREET ,11E,10011,2,1
315,7TH AVENUE ,2D,10001,1,1
252,7TH AVENUE ,10V,10001,2,2
245,WEST 14TH STREET ,5A,10011,1,1
133,WEST 22ND STREET ,5C,10011,1,2
77,7TH AVENUE ,16G,10011,1,1
333,WEST 22ND STREET ,5D,10011,1,2
107,WEST 25TH STREET ,3E,10001,2,1
225,WEST 25TH STREET ,5H,10001,1,1
201,WEST 16TH STREET ,12E,10011,0,1
310,WEST 18TH STREET ,1A,10011,0,1
146-148,WEST 22ND STREET ,10,10011,2,2
154,WEST 18TH STREET ,7A,10011,1,1
148,WEST 23RD STREET ,7A,10011,2,2
121,WEST 19TH STREET ,3E,10011,2,2
147,WEST 22ND STREET ,3S,10011,2,2
250,WEST 27TH STREET ,4E,10001,1,1
307,WEST 20TH STREET ,4F,10011,1,1
200,WEST 20TH STREET ,611,10011,0,1
130,WEST 16TH STREET ,62,10011,1,1
101,WEST 24TH STREET ,4H,10011,1,1
345,WEST 21ST STREET ,5C,10011,1,1
224,WEST 22ND STREET,,10011,6,6
101,WEST 24TH STREET ,28D,10011,2,2
311,WEST 20TH STREET ,2,10011,2,1
315,7TH AVENUE ,17C,10001,0,1
252,7TH AVENUE ,10P,10001,2,3
308,WEST 30TH STREET ,1A,10001,1,1
315,WEST 23RD STREET ,8C,10011,2,2
261,WEST 28TH STREET ,2E,10001,2,2
270,WEST 17TH STREET ,18B,10011,1,1
141,WEST 24TH STREET ,6,10011,4,2
315,7TH AVENUE ,7E,10001,0,1
77,7TH AVENUE ,11L,10011,1,1
210,WEST 21ST STREET ,1FW,10011,1,1
305-313,WEST 18TH STREET ,1B,10011,1,1
201,WEST 21ST STREET ,10G,10011,0,1
181,7TH AVENUE ,14C,10011,1,1
170,WEST 23RD STREET ,6E,10011,1,1
353,WEST 22ND STREET,,10011,6,4
147,WEST 15TH STREET ,4N,10011,1,1
246,WEST 17TH STREET ,4A,10011,3,3
201,WEST 16TH STREET ,8E,10011,0,1
250,WEST 27TH STREET ,4J,10001,1,1
143,WEST 27TH STREET ,3F,10001,3,2
109,WEST 26TH STREET  ROOM,4B,10001,1,1
252,WEST 17TH STREET ,6A,10011,2,2
245,7TH AVENUE ,7C,10001,1,1
200,WEST 20TH STREET ,702,10011,0,1
217-221,WEST 19TH STREET ,10,10011,3,3
300,WEST 23RD STREET ,9F,10011,0,1
212,WEST 18TH STREET ,18A,10011,4,5
315,WEST 23RD STREET ,8A,10011,2,2
140,WEST 22ND STREET ,2E,10011,0,1
332,WEST 17TH STREET ,3E,10011,1,1
217,WEST 19TH STREET ,10,10011,3,2
231,WEST 26TH STREET ,3,10001,2,2
77,7TH AVENUE ,14M,10011,2,2
125,WEST 22ND STREET ,4B,10011,3,2
150,WEST 26TH STREET ,602,10001,2,2
365,WEST 20TH STREET ,3D,10011,1,1
231,WEST 26TH STREET ,2,10001,3,3
151,28TH STREET REET,#2W,10001,2,2
231,WEST 26TH STREET ,5,10001,2,2
217-221,WEST 19TH STREET ,7S,10011,3,2
140,7TH AVENUE ,3L,10011,1,1
365,WEST 20TH STREET ,12D,10011,1,1
252,WEST 20TH STREET ,4B,10011,1,1
234,WEST 16TH STREET ,1-B,10011,1,1
234,WEST 16TH STREET ,2B,10011,1,1
77,7TH AVENUE ,9J,10011,1,1
319-321,WEST 14TH STREET ,4-321,10014,3,1
347,WEST 22ND STREET ,3,10011,2,2
148,WEST 23RD STREET ,4F,10011,1,1
261,WEST 25TH STREET ,3C,10001,2,2
66,9TH AVENUE ,RESIDENCE-,10011,5,7
245,SEVENTH AVENUE NUE,PHBC,10011,3,3
