Inc_ID,Year,Neighborhood,BuildingCategoryNum,BuildingCategoryDes,TaxClassAtPresent,Block,Lot,BuildingClassAtPresent,StreetNum,StreetName,AptNum,ZipCode,ResidentialUnits,CommercialUnits,TotalUnits,LandSquareFeet,GrossSquareFeet,YearBuilt,TaxClassAtTimeOfSale,BuildingClassAtTimeOfSale,SalePrice,SaleDate,Beds,Baths,StreetAddress,GeoCode,LEASED
1350,2015,UPPER WEST SIDE (59-79)  ,10,COOPS - ELEVATOR APARTMENTS       ,2,1122,40,D4,18,WEST 70TH STREET,2C,10023,0,0,0,0,0,1926,2,D4,1810500,10/15/2015,2,2,18 WEST 70TH STREET,"(-73.97788349999999, 40.7750723)",0
2029,2018,SOUTHBRIDGE,10,COOPS - ELEVATOR APARTMENTS,2,101,1,D4,145,NASSAU STREET,4E,10038,0,0,0,0,0,1900,2,D4,1810000,11/20/2018,3,1,145 NASSAU STREET,"(-74.0063332, 40.711504999999995)",0
2030,2019,SOUTHBRIDGE,10,COOPS - ELEVATOR APARTMENTS,2,101,1,D4,145,NASSAU STREET,4E,10038,0,0,0,0,0,1900,2,D4,1810000,11/20/2018,3,1,145 NASSAU STREET,"(-74.0063332, 40.711504999999995)",0
2428,2017,CHELSEA,10,COOPS - ELEVATOR APARTMENTS       ,2,798,17,D0,147,WEST 22ND STREET,3N,10011,0,0,0,0,0,1909,2,D0,1810000,7/6/2017,2,1,147 WEST 22ND STREET,"(-73.9949629, 40.7431888)",0
3178,2017,UPPER EAST SIDE (59-79),10,COOPS - ELEVATOR APARTMENTS       ,2,1427,1,D4,203,EAST 72ND STREET,27A,10021,0,0,0,0,0,1966,2,D4,1810000,5/31/2017,2,2,203 EAST 72ND STREET,"(-73.960189, 40.769883)",0
4523,2018,GREENWICH VILLAGE-CENTRAL,9,COOPS - WALKUP APARTMENTS,2C,562,38,C6,39,EAST 10TH STREET,3W,10003,0,0,0,0,0,1900,2,C6,1810000,8/6/2018,3,1,39 EAST 10TH STREET,"(-73.99253490000001, 40.7325036)",0
6245,2018,UPPER EAST SIDE (79-96),10,COOPS - ELEVATOR APARTMENTS,2,1518,61,D4,114,EAST 90TH STREET,3A,10128,0,0,0,0,0,1925,2,D4,1810000,4/4/2018,2,3,114 EAST 90TH STREET,"(-73.9544199, 40.7821142)",0
7317,2018,UPPER WEST SIDE (96-116),10,COOPS - ELEVATOR APARTMENTS,2,1888,76,D4,306,WEST 100TH STREET,62,10025,0,0,0,0,0,1940,2,D4,1810000,6/12/2018,3,2,306 WEST 100TH STREET,"(-73.972142, 40.797907)",0
1035,2016,UPPER EAST SIDE (59-79)  ,13,CONDOS - ELEVATOR APARTMENTS      ,2,1397,1212,R4,166,EAST 63RD STREET,House,10065,1,0,1,0,0,1959,2,R4,1807393,8/15/2016,2,2,166 EAST 63RD STREET,"(-73.9651703, 40.764086600000006)",0
3968,2017,UPPER WEST SIDE (79-96),10,COOPS - ELEVATOR APARTMENTS       ,2,1233,33,D4,200,WEST 86TH STREET,20D,10024,0,0,0,0,0,1931,2,D4,1801000,11/16/2017,3,2,200 WEST 86TH STREET,"(-73.97570259999999, 40.7876659)",0
3969,2017,UPPER WEST SIDE (79-96),10,COOPS - ELEVATOR APARTMENTS       ,2,1233,33,D4,200,WEST 86TH STREET,20D,10024,0,0,0,0,0,1931,2,D4,1801000,11/16/2017,2,2,200 WEST 86TH STREET,"(-73.97570259999999, 40.7876659)",0
201,2015,CLINTON                  ,13,CONDOS - ELEVATOR APARTMENTS      ,2,1090,1162,R4,635,WEST 42ND STREET,House,10036,1,0,1,0,0,2005,2,R4,1800000,9/1/2015,1,1,635 WEST 42ND STREET,"(-73.9996228, 40.7617008)",0
1386,2015,UPPER WEST SIDE (59-79)  ,10,COOPS - ELEVATOR APARTMENTS       ,2,1143,24,D4,119,WEST 71ST STREET,4A,10023,0,0,0,0,0,1913,2,D4,1800000,3/17/2015,2,2,119 WEST 71ST STREET,"(-73.9799267, 40.7771564)",0
1967,2016,MIDTOWN WEST             ,10,COOPS - ELEVATOR APARTMENTS       ,2,1049,1,D4,30,WEST 60TH STREET,7M,10019,0,0,0,0,0,1957,2,D4,1800000,1/6/2016,2,2,30 WEST 60TH STREET,"(-73.9836261, 40.769233899999996)",0
2137,2016,UPPER EAST SIDE (79-96)  ,10,COOPS - ELEVATOR APARTMENTS       ,2,1514,8,D4,111,EAST 85TH STREET,14G,10028,0,0,0,0,0,1971,2,D4,1800000,2/5/2016,2,2,111 EAST 85TH STREET,"(-73.9567159, 40.7794706)",0
3092,2017,UPPER EAST SIDE (59-79),10,COOPS - ELEVATOR APARTMENTS       ,2,1392,30,D4,71,EAST 77TH STREET,6A,10075,0,0,0,0,0,1928,2,D4,1800000,11/20/2017,1,1,71 EAST 77TH STREET,"(-73.9619506, 40.7747758)",0
3124,2017,UPPER EAST SIDE (59-79),10,COOPS - ELEVATOR APARTMENTS       ,2,1408,1,D4,785,PARK AVENUE,11C,10021,0,0,0,0,0,1940,2,D4,1800000,5/1/2017,2,1,785 PARK AVENUE,"(-73.9629838, 40.7718461)",0
3125,2017,UPPER EAST SIDE (59-79),10,COOPS - ELEVATOR APARTMENTS       ,2,1408,1,D4,785,PARK AVENUE,11C,10021,0,0,0,0,0,1940,2,D4,1800000,5/1/2017,2,2,785 PARK AVENUE,"(-73.9629838, 40.7718461)",0
3428,2017,UPPER WEST SIDE (59-79),9,COOPS - WALKUP APARTMENTS        ,2C,1122,45,C6,24,WEST 70TH STREET,1,10023,0,0,0,0,0,1910,2,C6,1800000,2/17/2017,2,2,24 WEST 70TH STREET,"(-73.97814759999999, 40.7752159)",0
3958,2017,UPPER WEST SIDE (79-96),10,COOPS - ELEVATOR APARTMENTS       ,2,1224,1,D4,175,WEST 93RD STREET,11A,10025,0,0,0,0,0,1929,2,D4,1800000,6/30/2017,2,2,175 WEST 93RD STREET,"(-73.9713327, 40.792163099999996)",0
3979,2017,UPPER WEST SIDE (79-96),10,COOPS - ELEVATOR APARTMENTS       ,2,1237,29,D4,201,WEST 89TH STREET,7G,10024,0,0,0,0,0,1925,2,D4,1800000,4/27/2017,3,2,201 WEST 89TH STREET,"(-73.97391329999999, 40.789852)",0
4557,2018,GREENWICH VILLAGE-CENTRAL,10,COOPS - ELEVATOR APARTMENTS,2,545,11,D0,718,BROADWAY,4C,10003,0,0,0,0,0,1908,2,D0,1800000,4/30/2018,2,2,718 BROADWAY,"(-73.99342490000001, 40.7289755)",0
