Address,latitude,longitude
"315 7TH AVENUE, New York, NY",40.7469616,-73.993224
"315 SEVENTH AVE, New York, NY",40.7469616,-73.993224
"556 WEST 24TH STREET, New York, NY",40.7492037,-74.0061149
"560 WEST 24TH STREET, New York, NY",40.7492488,-74.0061751
"421 WEST 22ND STREET, New York, NY",40.7463054,-74.0024388
"333 WEST 14TH STREET, New York, NY",40.7406892,-74.0039645
"234 WEST 20TH STREET, New York, NY",40.7428019,-73.9987349
"239 WEST 19TH STREET, New York, NY",40.7424374,-73.9989284
"231 WEST 26TH STREET, New York, NY",40.7467311,-73.9957027
"135 WEST 14TH STREET, New York, NY",40.7382916,-73.9982685
"133 WEST 14TH STREET, New York, NY",40.7382786,-73.9981766
"124 WEST 18TH STREET, New York, NY",40.740167,-73.9962099
"138 WEST 19TH STREET, New York, NY",40.7410151,-73.9964435
"116 WEST 22ND STREET, New York, NY",40.7423638,-73.9942818
"158 WEST 23RD STREET, New York, NY",40.7435638,-73.9950892
"158 8 AVENUE, New York, NY",40.7420063,-74.0005754
"177 9 AVENUE, New York, NY",40.7450569,-74.0027927
"177 NINTH AVENUE, New York, NY",40.7450569,-74.0027927
"177 NINTH AVE, New York, NY",40.7450569,-74.0027927
"405 WEST 23RD, New York, NY",40.7469476,-74.0018128
"300 WEST 23RD STREET, New York, NY",40.7452401,-73.9989464
"405 WEST 23RD STREET, New York, NY",40.7469476,-74.0018128
"465 WEST 23RD STREET, New York, NY",40.7476477,-74.0036768
"410 WEST 24TH STREET, New York, NY",40.7471724,-74.0014132
"470 WEST 24TH STREET, New York, NY",40.7480707,-74.0034535
"85 8 AVENUE, New York, NY",40.7403739,-74.0024304
"85 EIGHTH AVENUE, New York, NY",40.7403739,-74.0024304
"85 EIGHTH AVE, New York, NY",40.7403739,-74.0024304
"85 8TH AVE, New York, NY",40.7403739,-74.0024304
"85 8TH AVENUE, New York, NY",40.7403739,-74.0024304
"360 WEST 22ND STREET, New York, NY",40.7454597,-74.0014921
"225 8TH AVENUE, New York, NY",40.744453,-73.999542
"249 8TH AVENUE, New York, NY",40.7450362,-73.9988965
"249 8 AVENUE, New York, NY",40.7450362,-73.9988965
"160 7 AVENUE, New York, NY",40.7420247,-73.9973689
"200 WEST 20TH STREET, New York, NY",40.7422277,-73.997465
"200 20TH STREET, New York, NY",40.7422277,-73.997465
"161 WEST 16TH STREET, New York, NY",40.7399707,-73.9982931
"101 7 AVENUE, New York, NY",40.7399966,-73.9982762
"130 WEST 17TH STREET, New York, NY",40.7397632,-73.9971743
"138 WEST 17TH STREET, New York, NY",40.7398729,-73.9974039
"366 BROADWAY, New York, NY",40.7175508,-74.0032861
"101 LEONARD, New York, NY",40.7168153,-74.0036685
"101 LEONARD STREET, New York, NY",40.7168153,-74.0036685
"356 BROADWAY, New York, NY",40.7169771,-74.0034162
"354 BROADWAY, New York, NY",40.7168999,-74.0034162
"376 BROADWAY, New York, NY",40.7177161,-74.0029122
"50 FRANKLIN STREET, New York, NY",40.717182,-74.002593
"81 WHITE STREET, New York, NY",40.7175547,-74.0023486
"50 BAYARD, New York, NY",40.7152764,-73.9969192
"50 BAYARD STREET, New York, NY",40.7152764,-73.9969192
"158 HESTER STREET, New York, NY",40.7176771,-73.996806
"123 BAXTER STREET, New York, NY",40.7180687,-73.9987505
"129 LAFAYETTE STREET, New York, NY",40.718907,-73.9997605
"161 GRAND STREET, New York, NY",40.7197583,-73.99881
"80 ELIZABETH STREET, New York, NY",40.7179621,-73.9960052
"215 PARK ROW, New York, NY",40.7127421,-73.9993575
"165 PARK ROW, New York, NY",40.7129335,-74.0008906
"185 PARK ROW, New York, NY",40.7124717,-73.9998602
"258 BROADWAY, New York, NY",40.7137377,-74.0073854
"138 DUANE STREET, New York, NY",40.7160899,-74.0076598
"74 READE STREET, New York, NY",40.7153843,-74.0070201
"170 PARK ROW, New York, NY",40.713832,-74.0000589
"180 PARK ROW, New York, NY",40.713565,-73.999593
"57 WARREN STREET, New York, NY",40.7146002,-74.0095201
"17 WARREN STREET, New York, NY",40.7138765,-74.0076838
"110 FRANKLIN STREET, New York, NY",40.7187503,-74.0058114
"25 MURRAY STREET, New York, NY",40.7139386,-74.008297
"9 MURRAY STREET, New York, NY",40.7136612,-74.0079363
"80 CHAMBERS STREET, New York, NY",40.7144465,-74.0071171
"8 WARREN STREET, New York, NY",40.7141029,-74.0072497
"270 BROADWAY, New York, NY",40.7142311,-74.0068468
"85 WEST BROADWAY, New York, NY",40.7152206,-74.009131
"38 WARREN STREET, New York, NY",40.7146591,-74.0084831
"77 READE STREET, New York, NY",40.7149404,-74.0071976
"57 READE STREET, New York, NY",40.7148523,-74.0064365
"71 READE STREET, New York, NY",40.714922,-74.0070262
"108 DUANE STREET, New York, NY",40.715448,-74.006489
"93 WORTH STREET, New York, NY",40.7165872,-74.0048064
"66 LEONARD STREET, New York, NY",40.7174825,-74.0055201
"73 WORTH STREET, New York, NY",40.7169683,-74.0057338
"5 FRANKLIN PLACE, New York, NY",40.7179654,-74.0039166
"55 WHITE STREET, New York, NY",40.7181969,-74.0039905
"53 WARREN STREET, New York, NY",40.7145822,-74.009325
"55 WARREN STREET, New York, NY",40.7146193,-74.0093823
"88 CHAMBERS STREET, New York, NY",40.7144564,-74.0073516
"22 WARREN STREET, New York, NY",40.7143138,-74.0077763
"60 WARREN STREET, New York, NY",40.7150042,-74.0092947
"93-95 FRANKLIN STREET, New York, NY",40.7180391,-74.0051205
"85 LEONARD STREET, New York, NY",40.7173657,-74.0047942
"65 LEONARD STREET, New York, NY",40.7177225,-74.0055554
"88 FRANKLIN STREET, New York, NY",40.7182528,-74.0047939
"41 MURRAY STREET, New York, NY",40.7141103,-74.009061
